자료년도,국가구분,시도,시군구,시가화건조지역,농업지역,산림지역,초지,습지,나지,수역,합계
1990,남한,전라남도,강진군,9.396,161.7525,302.7051,8.3655,7.3665,5.5719,6.8742,502.0317
1990,남한,전라남도,고흥군,14.5314,263.0925,425.5659,42.4035,21.2679,22.5216,32.0913,821.4741
1990,남한,전라남도,곡성군,6.2334,94.3218,420.2271,13.8501,0.0171,5.4774,7.5312,547.6581
1990,남한,전라남도,광양시,25.8741,85.2939,310.05,2.2248,6.444,14.643,21.5181,466.0479
1990,남한,전라남도,구례군,4.7934,66.6891,353.5164,6.3486,0.0459,3.0033,5.2443,439.641
1990,남한,전라남도,나주시,22.7169,304.5951,239.7141,14.8608,1.008,6.7149,18.27,607.8798
1990,남한,전라남도,담양군,9.72,120.6936,299.9538,7.6221,0.288,7.011,6.714,452.0025
1990,남한,전라남도,목포시,12.2193,13.6971,13.8348,2.6505,1.5678,5.3874,4.3677,53.7246
1990,남한,전라남도,무안군,16.2747,248.9922,137.2302,13.3785,11.1834,8.5689,27.6948,463.3227
1990,남한,전라남도,보성군,13.7547,163.3104,436.6647,31.6908,1.9827,6.7815,11.6307,665.8155
1990,남한,전라남도,순천시,17.883,201.3912,648.4572,5.5755,5.2119,13.0284,21.1806,912.7278
1990,남한,전라남도,신안군,20.2743,243.6291,303.8994,20.1015,73.9332,14.6952,174.3813,850.914
1990,남한,전라남도,여수시,25.8192,102.5928,302.5917,43.2324,3.3444,24.3369,30.7449,532.6623
1990,남한,전라남도,영광군,21.1392,215.469,189.9045,19.8027,14.4153,9.2133,25.5924,495.5364
1990,남한,전라남도,영암군,14.9733,295.0245,216.8973,11.3697,1.0305,13.464,18.7623,571.5216
1990,남한,전라남도,완도군,9.9144,89.8695,260.6085,20.5803,7.6041,10.2816,53.8974,452.7558
1990,남한,전라남도,장성군,17.7084,156.5964,307.3977,21.0528,0.3078,5.3424,10.1277,518.5332
1990,남한,전라남도,장흥군,11.1429,143.3592,432.2574,18.0135,1.1016,4.7871,8.2062,618.8679
1990,남한,전라남도,진도군,7.6158,144.0738,251.2368,17.9685,7.8552,6.2613,23.2092,458.2206
1990,남한,전라남도,함평군,13.1094,173.7342,183.3093,10.5084,0.3951,4.806,5.4261,391.2885
1990,남한,전라남도,해남군,22.3776,455.8815,418.1607,22.0698,48.2436,10.9413,26.5635,1004.238
1990,남한,전라남도,화순군,11.7225,104.9265,645.4026,9.5553,0.2907,3.2832,12.1734,787.3542
1990,남한,전라북도,고창군,27.3897,337.0635,189.3744,33.4674,6.8094,11.3391,5.0256,610.4691
1990,남한,전라북도,군산시,47.5047,180.7362,62.028,23.7618,10.2708,17.7417,40.2111,382.2543
1990,남한,전라북도,김제시,45.5967,343.1484,72.4896,23.7555,3.1482,16.2936,6.1695,510.6015
1990,남한,전라북도,남원시,12.4479,171.7146,512.1342,38.8017,0.0036,7.6986,6.5277,749.3283
1990,남한,전라북도,무주군,5.6736,42.786,564.8382,10.3284,0.09,2.0799,4.3956,630.1917
1990,남한,전라북도,부안군,20.2869,243.0675,170.9811,18.369,4.9014,11.1069,17.676,486.3888
1990,남한,전라북도,순창군,6.4098,100.9647,355.2687,28.7973,0.0216,3.5559,4.1742,499.1922
1990,남한,전라북도,완주군,17.5374,151.3818,614.5551,20.6442,0.0621,5.8284,12.024,822.033
1990,남한,전라북도,익산시,55.5021,330.1893,74.5443,19.449,0.648,19.6848,9.0315,509.049
1990,남한,전라북도,임실군,5.1021,73.764,451.6056,46.899,0.072,3.1581,18.1422,598.743
1990,남한,전라북도,장수군,4.1337,60.3819,444.2076,16.6401,0.0036,2.6397,3.3237,531.3303
1990,남한,전라북도,전주시덕진구,21.762,52.0848,21.7008,6.1848,0.0072,6.3099,2.7954,110.8449
1990,남한,전라북도,전주시완산구,17.3754,24.5979,43.4007,4.8033,0.0009,3.339,0.9099,94.4271
1990,남한,전라북도,정읍시,39.8763,299.6253,287.5815,46.1835,0.1017,13.6782,9.0441,696.0906
1990,남한,전라북도,진안군,4.5117,82.4526,675.2043,16.8156,0.1134,5.598,5.49,790.1856
1990,남한,제주특별자치도,서귀포시,35.6868,163.5534,501.1713,168.2856,0,6.1038,11.5596,886.3605
1990,남한,제주특별자치도,제주시,53.2044,230.5863,535.0329,153.9243,0.5382,9.4554,15.9822,998.7237
1990,남한,충청남도,계룡시,2.6208,4.7745,45.2403,4.5891,0.0027,2.8962,0.1719,60.2955
1990,남한,충청남도,공주시,15.0777,237.3165,602.5662,61.4853,0.2907,13.6989,10.0899,940.5252
1990,남한,충청남도,금산군,9.7758,104.9076,437.0157,18.4077,0.0252,3.9645,3.5946,577.6911
1990,남한,충청남도,논산시,29.7684,237.4074,220.9743,41.5125,0.1989,14.283,8.0253,552.1698
1990,남한,충청남도,당진군,27.0369,371.0295,197.9082,31.3767,26.6256,20.7207,31.7655,706.4631
1990,남한,충청남도,보령시,17.8686,199.3284,306.5751,26.919,11.7738,10.3293,30.402,603.1962
1990,남한,충청남도,부여군,15.3279,284.4783,277.0452,20.574,0.3654,13.0203,14.49,625.3011
1990,남한,충청남도,서산시,19.5138,370.4184,247.8411,36.6786,6.7653,23.0229,26.5716,730.8117
1990,남한,충청남도,서천군,22.7583,176.4576,121.2975,25.3953,3.9321,5.5602,14.8662,370.2672
1990,남한,충청남도,아산시,22.0239,235.9161,213.0894,33.3711,1.5039,18.6885,17.9622,542.5551
1990,남한,충청남도,연기군,11.7279,103.3722,195.8166,33.1677,0.1503,9.7461,7.5078,361.4886
1990,남한,충청남도,예산군,12.0456,264.6207,226.4895,19.2546,0.1395,9.6291,9.6687,541.8477
1990,남한,충청남도,천안시동남구,13.5828,110.2725,281.4876,19.557,0.4527,11.0223,1.6182,437.9931
1990,남한,충청남도,천안시서북구,12.5838,103.932,50.8977,20.8008,0.1386,7.1424,1.6065,197.1018
1990,남한,충청남도,청양군,5.481,161.8623,294.606,10.53,0.2403,4.7052,3.1752,480.6
1990,남한,충청남도,태안군,12.3993,251.523,179.271,29.8728,19.0017,13.5873,65.8107,571.4658
1990,남한,충청남도,홍성군,10.5903,238.5162,161.2944,21.2985,0.6957,7.3035,13.2975,452.9961
1990,남한,충청북도,괴산군,6.9507,90.9018,716.5773,18.2331,0.0387,3.3408,5.391,841.4334
1990,남한,충청북도,단양군,4.6791,75.3975,678.0582,8.7174,0,6.5088,7.5042,780.8652
1990,남한,충청북도,보은군,7.272,77.0598,470.4597,13.9626,0.0873,3.249,11.7468,583.8372
1990,남한,충청북도,영동군,9.7119,51.4674,758.1186,23.5746,0.0252,3.0888,7.2036,853.1901
1990,남한,충청북도,옥천군,9.7227,51.7527,430.4142,19.5435,0.1026,3.1752,26.8407,541.5516
1990,남한,충청북도,음성군,7.0641,192.6486,275.8257,32.5431,0.0207,9.1512,3.4236,520.677
1990,남한,충청북도,제천시,6.0444,149.1768,665.505,24.4962,0,7.0272,29.259,881.5086
1990,남한,충청북도,증평군,3.3759,21.3174,46.8783,7.3233,0.0225,2.4291,0.486,81.8325
1990,남한,충청북도,진천군,8.6841,106.7625,251.6418,27.7164,0.1179,5.9517,6.6447,407.5191
1990,남한,충청북도,청원군,26.2134,167.2398,519.8283,61.5942,0.333,16.9407,21.2409,813.3903
1990,남한,충청북도,청주시상당구,13.0131,14.8689,30.6513,6.9723,0.0036,2.8665,0.7182,69.0939
1990,남한,충청북도,청주시흥덕구,19.1871,26.2764,23.3523,8.8686,0.0306,6.2793,0.4716,84.4659
1990,남한,충청북도,충주시,11.5839,231.5349,656.1747,39.8214,0,9.7641,34.1532,983.0322
1990,북한,강원도,고산군,2.5128,169.6671,256.0842,1.5174,0.0342,6.6231,3.3669,439.8057
1990,북한,강원도,고성군,7.7832,86.8662,722.205,16.1136,0.0252,4.4766,4.2201,841.6899
1990,북한,강원도,금강군,1.2888,157.8177,839.0349,16.7913,0.2061,1.2942,0.6534,1017.0864
1990,북한,강원도,김화군,11.3094,85.0923,591.7689,22.9599,0.0351,1.1196,1.0017,713.2869
1990,북한,강원도,문천군,9.2349,89.613,158.2533,2.2869,0.0063,3.6162,1.7586,264.7692
1990,북한,강원도,법동군,0.8073,95.2938,725.193,3.3615,0.0045,2.7972,1.1142,828.5715
1990,북한,강원도,세포군,1.9827,165.7746,770.3163,16.5276,0.3483,2.0079,3.1491,960.1065
1990,북한,강원도,안변군,8.2071,161.6364,346.1868,2.9439,0.4032,7.0614,3.9132,530.352
1990,북한,강원도,원산시,15.7473,81.7326,192.9969,2.2923,0.1521,2.871,2.1879,297.9801
1990,북한,강원도,이천군,0.6984,130.6458,471.564,5.6376,0.3483,2.6595,2.9349,614.4885
1990,북한,강원도,창도군,2.4939,124.8192,481.3632,20.8458,0.0162,1.5606,2.0322,633.1311
1990,북한,강원도,천내군,9.9207,109.5039,249.1209,3.3795,2.772,4.0536,2.4507,381.2013
1990,북한,강원도,철원군,6.8274,159.0831,322.3395,9.9909,1.2753,6.5601,3.7566,509.8329
1990,북한,강원도,통천군,9.0468,123.2082,416.2365,30.2463,0.0081,5.0022,12.4839,596.232
