"model","focal_variable","species","focal_value","estimate","lower_95","upper_95"
"climate_sum_only","sum_sun_z","mellifera",-0.279168294783381,37.5028357231507,11.753042072559,96.368280709854
"climate_sum_only","sum_sun_z","mellifera",-0.231510784153211,37.2338244666591,11.6117149833946,96.6693147386184
"climate_sum_only","sum_sun_z","mellifera",-0.183853273523041,36.9695176918041,11.556795340697,95.993416749808
"climate_sum_only","sum_sun_z","mellifera",-0.136195762892871,36.7098394203034,11.4465417293936,95.1467822145547
"climate_sum_only","sum_sun_z","mellifera",-0.0885382522627012,36.4547153152006,11.3023413134625,95.3785816831122
"climate_sum_only","sum_sun_z","mellifera",-0.0408807416325314,36.2040726452142,11.2362917824139,94.4358312968568
"climate_sum_only","sum_sun_z","mellifera",0.00677676899763879,35.9578402499766,11.1791423055107,93.4564599407848
"climate_sum_only","sum_sun_z","mellifera",0.0544342796278086,35.7159485061414,11.0715789939041,93.9200598531484
"climate_sum_only","sum_sun_z","mellifera",0.102091790257979,35.4783292943358,11.0186079546362,94.5597198008612
"climate_sum_only","sum_sun_z","mellifera",0.149749300888149,35.2449159669377,10.9670631905533,92.8855468782649
"climate_sum_only","sum_sun_z","mellifera",0.197406811518319,35.0156433166561,10.9157758921853,92.7379108925748
"climate_sum_only","sum_sun_z","mellifera",0.245064322148489,34.7904475458946,10.8647448183141,91.7292923390383
"climate_sum_only","sum_sun_z","mellifera",0.292721832778659,34.5692662368784,10.7837240737463,91.1430687201183
"climate_sum_only","sum_sun_z","mellifera",0.340379343408829,34.3520383225261,10.6566511200822,90.5399280786856
"climate_sum_only","sum_sun_z","mellifera",0.388036854038999,34.1387040580462,10.5311810007832,89.7291188997712
"climate_sum_only","sum_sun_z","mellifera",0.435694364669169,33.9292049932426,10.4092778022208,88.9239478432211
"climate_sum_only","sum_sun_z","mellifera",0.483351875299339,33.723483945509,10.2820124435955,88.1248036355342
"climate_sum_only","sum_sun_z","mellifera",0.531009385929509,33.5214849734971,10.1571584915313,87.8059446894252
"climate_sum_only","sum_sun_z","mellifera",0.578666896559679,33.3231533514412,10.0354474506051,87.9648927125992
"climate_sum_only","sum_sun_z","mellifera",0.626324407189849,33.1284355441226,9.87906200045557,87.68225143453
"climate_sum_only","sum_sun_z","mellifera",0.673981917820019,32.9372791824589,9.69730781094849,87.4171154122793
"climate_sum_only","sum_sun_z","mellifera",0.721639428450189,32.7496330397034,9.52173199878037,87.107878673226
"climate_sum_only","sum_sun_z","mellifera",0.769296939080359,32.565447008238,9.45769828318758,86.6309981416255
"climate_sum_only","sum_sun_z","mellifera",0.816954449710529,32.3846720769476,9.41060803115507,86.096975895028
"climate_sum_only","sum_sun_z","mellifera",0.864611960340699,32.2072603091596,9.34745729769153,85.5593729919589
"climate_sum_only","sum_sun_z","mellifera",0.912269470970869,32.0331648211379,9.26622782867039,85.0251297585583
"climate_sum_only","sum_sun_z","mellifera",0.959926981601039,31.8623397611148,9.1414941808399,84.4108842790257
"climate_sum_only","sum_sun_z","mellifera",1.00758449223121,31.6947402888514,9.02086528306742,83.966638540766
"climate_sum_only","sum_sun_z","mellifera",1.05524200286138,31.5303225557112,8.9143924033586,83.4408598132797
"climate_sum_only","sum_sun_z","mellifera",1.10289951349155,31.3690436852374,8.78524078812347,83.3514715725269
"climate_sum_only","sum_sun_z","mellifera",1.15055702412172,31.2108617542203,8.70508440134687,82.6790236422677
"climate_sum_only","sum_sun_z","mellifera",1.19821453475189,31.0557357742444,8.60312336938077,81.889058077416
"climate_sum_only","sum_sun_z","mellifera",1.24587204538206,30.903625673704,8.50202832402183,81.3777525788459
"climate_sum_only","sum_sun_z","mellifera",1.29352955601223,30.7544922802766,8.35781916499385,80.869642593199
"climate_sum_only","sum_sun_z","mellifera",1.3411870666424,30.6082973038442,8.20867344800888,80.1840241234656
"climate_sum_only","sum_sun_z","mellifera",1.38884457727257,30.465003319851,8.12551453978663,79.6822993300576
"climate_sum_only","sum_sun_z","mellifera",1.43650208790274,30.32457375309,7.9872076599979,79.364286870831
