,nearby_idx_1,nearby_idx_2,nearby_idx_3,nearby_idx_4,nearby_idx_5,nearby_idx_6,nearby_idx_7,nearby_idx_8,nearby_idx_9,nearby_idx_10,nearby_idx_11,nearby_idx_12,nearby_idx_13,nearby_idx_14,nearby_idx_15,nearby_idx_16,nearby_idx_17,nearby_idx_18,nearby_idx_19,nearby_idx_20,nearby_idx_21,nearby_idx_22,nearby_idx_23,nearby_idx_24,nearby_idx_25,nearby_idx_26,nearby_idx_27,nearby_idx_28
147,1047.0,358.0,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,
148,401.0,314.0,345.0,264.0,395.0,492.0,506.0,411.0,480.0,607.0,394.0,502.0,531.0,462.0,131.0,228.0,459.0,461.0,542.0,634.0,374.0,495.0,,,,,,
149,73.0,46.0,31.0,202.0,203.0,403.0,439.0,716.0,744.0,815.0,919.0,920.0,939.0,940.0,,,,,,,,,,,,,,
150,242.0,275.0,454.0,453.0,311.0,748.0,171.0,633.0,173.0,631.0,443.0,698.0,1094.0,944.0,195.0,457.0,637.0,632.0,,,,,,,,,,
151,117.0,160.0,77.0,83.0,489.0,,,,,,,,,,,,,,,,,,,,,,,
152,238.0,975.0,305.0,356.0,112.0,988.0,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,33.0,107.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,
155,1074.0,869.0,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,
156,33.0,107.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,
157,778.0,955.0,,,,,,,,,,,,,,,,,,,,,,,,,,
158,401.0,314.0,345.0,492.0,49.0,103.0,1075.0,,,,,,,,,,,,,,,,,,,,,
159,504.0,947.0,257.0,355.0,881.0,949.0,248.0,239.0,,,,,,,,,,,,,,,,,,,,
160,117.0,151.0,77.0,83.0,489.0,,,,,,,,,,,,,,,,,,,,,,,
161,1077.0,781.0,406.0,1158.0,0.0,21.0,4.0,,,,,,,,,,,,,,,,,,,,,
162,1012.0,327.0,323.0,283.0,188.0,207.0,282.0,118.0,278.0,340.0,341.0,342.0,739.0,279.0,353.0,563.0,362.0,288.0,232.0,233.0,166.0,322.0,,,,,,
163,181.0,886.0,476.0,125.0,270.0,122.0,128.0,530.0,756.0,,,,,,,,,,,,,,,,,,,
164,324.0,80.0,82.0,2.0,371.0,599.0,768.0,785.0,1100.0,1104.0,1105.0,1106.0,1115.0,1119.0,1148.0,555.0,250.0,1015.0,994.0,469.0,1156.0,1147.0,271.0,497.0,499.0,,,
165,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1012.0,327.0,323.0,283.0,188.0,207.0,282.0,118.0,278.0,340.0,341.0,342.0,162.0,739.0,279.0,353.0,563.0,362.0,288.0,232.0,233.0,322.0,,,,,,
167,114.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,
168,114.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,
169,259.0,113.0,1110.0,23.0,440.0,685.0,720.0,90.0,696.0,732.0,760.0,,,,,,,,,,,,,,,,,
170,64.0,333.0,255.0,91.0,572.0,1004.0,55.0,265.0,595.0,619.0,673.0,,,,,,,,,,,,,,,,,
171,453.0,150.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,
172,251.0,234.0,235.0,291.0,363.0,,,,,,,,,,,,,,,,,,,,,,,
173,453.0,150.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,
174,1112.0,140.0,27.0,546.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
175,646.0,625.0,628.0,626.0,281.0,352.0,,,,,,,,,,,,,,,,,,,,,,
176,930.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
177,190.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,
178,348.0,926.0,674.0,,,,,,,,,,,,,,,,,,,,,,,,,
179,518.0,493.0,244.0,268.0,269.0,425.0,455.0,762.0,194.0,798.0,517.0,,,,,,,,,,,,,,,,,
180,11.0,660.0,847.0,1040.0,26.0,45.0,205.0,230.0,213.0,681.0,121.0,679.0,262.0,29.0,,,,,,,,,,,,,,
181,163.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,19.0,294.0,295.0,426.0,830.0,840.0,986.0,315.0,,,,,,,,,,,,,,,,,,,,
